Abu Dhabi	Doha:299, Apia:15042
Abuja	Malabo:607, Apia:19465
Accra	Lomé:170, Funafuti:19665
Addis Ababa	Djibouti (city):559, Apia:16640
Algiers	Tunis:633, Wellington:19127
Amman	Jerusalem:70, Nukuʻalofa:16696
Amsterdam	Brussels:172, Wellington:18552
Andorra la Vella	Madrid:493, Wellington:19429
Ankara	Nicosia:530, Wellington:16810
Antananarivo	Port Louis:1054, Mexico City:16506
Apia	Nukuʻalofa:889, Abuja:19465
Ashgabat	Baku:780, Santiago:15431
Asmara	Sana'a:565, Apia:16701
Asunción	Buenos Aires:1036, Taipei:19912
Athens	Skopje:487, Wellington:17508
Baghdad	Kuwait City:557, Nukuʻalofa:15891
Baku	Tbilisi:451, Wellington:15448
Bamako	Ouagadougou:702, Port Vila:19311
Bandar Seri Begawan	Manila:1264, Bogotá:18538
Bangkok	Vientiane:519, Lima:19673
Bangui	Yaounde:782, Apia:18458
Banjul	Dakar:166, Honiara:19416
Basseterre	Roseau:264, Dili:18679
Beijing	Pyongyang:808, Buenos Aires:19251
Beirut	Damascus:83, Nukuʻalofa:16676
Belgrade	Sarajevo:194, Wellington:17888
Belmopan	Guatemala City:348, Jakarta:17910
Berlin	Prague:279, Wellington:18126
Bern	Vaduz:158, Wellington:18813
Bishkek	Tashkent:474, Santiago:16818
Bissau	Banjul:209, Honiara:19443
Bogotá	Quito:738, Jakarta:19809
Brasilia	Asunción:1463, Manila:18799
Bratislava	Vienna:55, Wellington:18089
Brazzaville	Kinshasa:7, Apia:17845
Bridgetown	Kingstown:174, Dili:19244
Brussels	Amsterdam:172, Wellington:18710
Bucharest	Sofia:294, Wellington:17442
Budapest	Bratislava:161, Wellington:17964
Buenos Aires	Montevideo:203, Seoul:19419
Cairo	Jerusalem:426, Nukuʻalofa:17182
Canberra	Wellington:2324, Lisbon:18041
Caracas	Port of Spain:588, Jakarta:19163
Castries	Kingstown:98, Dili:19065
Chisinau	Bucharest:357, Wellington:17236
Conakry	Freetown:125, Honiara:19307
